Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Bournemouth vs. Brentford,1.78,1.63,3.42,41.97%,35.41%,22.62%,+138,+181,+342,+100,+249,+301,-0.16,0.24,-0.09,Premier League
Everton vs. Sheffield United,2.21,0.99,3.19,65.25%,15.91%,18.84%,-188,+529,+430,-238,+600,+418,-0.07,0.11,-0.02,Premier League
Fulham vs. Manchester City,0.92,1.63,2.56,21.35%,54.32%,24.33%,+368,-119,+311,+1184,-454,+602,1.74,-0.34,0.71,Premier League
Newcastle United vs. Brighton,3.17,0.66,3.83,86.06%,4.77%,9.17%,-625,+1996,+991,-163,+376,+388,0.39,-0.77,-0.55,Premier League
Nottingham Forest vs. Chelsea,1.7,1.29,2.99,47.31%,29.06%,23.63%,+110,+244,+323,+249,+102,+291,0.65,-0.41,-0.08,Premier League
Tottenham vs. Burnley,2.41,1.51,3.93,57.34%,23.51%,19.15%,-135,+325,+422,-277,+606,+498,-0.22,0.66,0.15,Premier League
West Ham vs. Luton,1.84,1.35,3.19,48.54%,29.04%,22.42%,+106,+244,+346,-120,+273,+349,-0.11,0.08,0.01,Premier League
Wolverhampton Wanderers vs. Crystal Palace,0.88,1.04,1.92,30.12%,38.11%,31.77%,+231,+162,+215,+188,+149,+250,-0.13,-0.05,0.12,Premier League
Manchester United vs. Arsenal,0.93,3.11,4.04,7.89%,80.71%,11.40%,+1167,-416,+777,+590,-250,+455,-0.46,0.13,-0.37,Premier League
Aston Villa vs. Liverpool,0.97,2.67,3.64,11.42%,72.56%,16.02%,+776,-263,+524,+301,-136,+380,-0.54,0.26,-0.23,Premier League
Tottenham vs. Manchester City,1.4,1.78,3.18,31.34%,46.16%,22.50%,+219,+117,+344,+499,-232,+411,0.88,-0.34,0.15,Premier League
