Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Getafe vs. Athletic Club,1.09,0.74,1.83,43.58%,24.63%,31.79%,+129,+305,+215,+250,+120,+225,0.53,-0.46,0.03,La Liga
Girona vs. Barcelona,1.25,0.79,2.04,48.35%,23.06%,28.59%,+106,+334,+250,+175,+135,+285,0.33,-0.46,0.1,La Liga
Mallorca vs. Atletico Madrid,0.61,0.98,1.59,22.33%,43.30%,34.37%,+348,+131,+191,+275,+110,+220,-0.16,-0.09,0.1,La Liga
Real Madrid vs. Cadiz,2.39,0.42,2.8,81.66%,4.90%,13.44%,-454,+1941,+644,-303,+800,+420,0.09,-0.56,-0.3,La Liga
Real Sociedad vs. Las Palmas,1.99,0.9,2.89,62.87%,16.49%,20.64%,-169,+505,+384,-277,+725,+390,-0.14,0.36,0.01,La Liga
Celta Vigo vs. Villarreal,1.24,1.31,2.55,34.34%,38.60%,27.06%,+191,+159,+270,+129,+190,+265,-0.21,0.12,-0.01,La Liga
Osasuna vs. Real Betis,1.23,1.33,2.56,33.83%,38.83%,27.34%,+196,+158,+266,+204,+140,+229,0.03,-0.07,-0.1,La Liga
Rayo Vallecano vs. Almeria,0.75,0.63,1.38,34.10%,27.30%,38.60%,+193,+266,+159,-175,+459,+320,-0.46,0.53,0.62,La Liga
Sevilla vs. Granada,2.12,0.71,2.83,70.81%,10.95%,18.24%,-243,+813,+448,-163,+440,+309,0.14,-0.41,-0.25,La Liga
Valencia vs. Alaves,0.95,0.74,1.68,39.25%,26.59%,34.16%,+154,+276,+193,+104,+320,+210,-0.2,0.12,0.06,La Liga
