Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Augsburg vs. VfB Stuttgart,1.0,2.05,3.04,17.20%,62.65%,20.15%,+480,-166,+396,+280,-120,+320,-0.35,0.15,-0.15,Bundesliga
Borussia M.Gladbach vs. Eintracht Frankfurt,2.33,1.31,3.64,60.09%,20.41%,19.50%,-151,+390,+413,+150,+170,+265,0.5,-0.45,-0.29,Bundesliga
FC Cologne vs. Union Berlin,0.61,1.34,1.95,16.93%,54.28%,28.79%,+491,-119,+247,+185,+150,+235,-0.52,0.36,-0.04,Bundesliga
Freiburg vs. FC Heidenheim,0.99,1.87,2.86,19.31%,58.35%,22.34%,+418,-140,+348,-140,+340,+309,-0.67,1.57,-0.08,Bundesliga
Mainz 05 vs. Borussia Dortmund,1.83,1.16,2.99,53.30%,23.64%,23.06%,-113,+323,+334,+125,+195,+275,0.2,-0.3,-0.14,Bundesliga
RasenBallsport Leipzig vs. Werder Bremen,2.49,0.65,3.14,77.76%,7.82%,14.42%,-344,+1179,+593,-344,+750,+525,0.0,-0.34,-0.1,Bundesliga
Bayern Munich vs. Wolfsburg,2.54,0.63,3.17,78.98%,7.32%,13.70%,-370,+1266,+630,-277,+575,+475,0.07,-0.51,-0.21,Bundesliga
Bochum vs. Bayer Leverkusen,0.83,2.7,3.53,9.22%,75.89%,14.89%,+985,-312,+572,+340,-144,+330,-0.59,0.28,-0.36,Bundesliga
Darmstadt vs. Hoffenheim,1.73,2.11,3.84,32.40%,47.31%,20.29%,+209,+110,+393,+350,-161,+370,0.46,-0.23,-0.05,Bundesliga
