Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Lens vs. Lorient,1.96,1.51,3.47,48.44%,29.73%,21.83%,+106,+236,+358,-232,+600,+380,-0.31,1.08,0.05,Ligue Une
Toulouse vs. Montpellier,1.32,1.46,2.78,33.92%,40.24%,25.84%,+195,+149,+287,+114,+220,+265,-0.27,0.29,-0.06,Ligue Une
Brest vs. Nantes,1.08,0.87,1.95,40.12%,28.22%,31.66%,+149,+254,+216,-140,+380,+285,-0.31,0.35,0.22,Ligue Une
Le Havre vs. Strasbourg,0.68,1.41,2.09,18.26%,54.65%,27.09%,+448,-120,+269,+135,+210,+225,-0.57,0.69,-0.12,Ligue Une
Metz vs. Rennes,1.28,1.75,3.03,28.13%,47.94%,23.93%,+254,+108,+318,+240,+104,+270,-0.04,-0.02,-0.11,Ligue Une
Monaco vs. Clermont Foot,2.32,0.75,3.06,73.37%,10.30%,16.33%,-277,+871,+512,-322,+700,+500,-0.04,-0.18,-0.02,Ligue Une
Lille vs. Lyon,2.12,1.18,3.3,58.79%,20.82%,20.39%,-142,+380,+390,-109,+275,+285,0.12,-0.22,-0.21,Ligue Une
