Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Brest vs. Reims,1.83,1.41,3.24,47.78%,29.31%,22.91%,+108,+241,+336,-144,+370,+309,-0.19,0.38,-0.06,Ligue Une
Nice vs. Le Havre,1.95,1.19,3.14,55.50%,23.05%,21.45%,-125,+334,+366,-188,+500,+320,-0.15,0.38,-0.1,Ligue Une
Clermont Foot vs. Lyon,1.38,3.26,4.64,12.42%,73.99%,13.59%,+705,-285,+636,+420,-169,+350,-0.35,0.18,-0.39,Ligue Une
Marseille vs. Lorient,2.57,0.94,3.51,72.96%,11.21%,15.83%,-270,+792,+532,-250,+600,+420,0.02,-0.22,-0.18,Ligue Une
Montpellier vs. Monaco,1.84,2.85,4.69,23.08%,60.00%,16.92%,+333,-149,+491,+270,-120,+320,-0.15,0.1,-0.29,Ligue Une
Nantes vs. Lille,0.64,1.75,2.4,13.02%,64.79%,22.19%,+668,-185,+351,+290,-105,+254,-0.49,0.26,-0.21,Ligue Une
Paris Saint Germain vs. Toulouse,1.38,1.36,2.74,37.90%,35.77%,26.33%,+164,+179,+280,-243,+500,+459,-0.47,1.15,0.47,Ligue Une
Rennes vs. Lens,1.77,1.91,3.68,36.13%,42.14%,21.73%,+177,+137,+359,+150,+175,+245,-0.1,0.16,-0.25,Ligue Une
Strasbourg vs. Metz,1.43,1.69,3.11,32.81%,43.60%,23.59%,+204,+129,+324,+120,+215,+265,-0.28,0.37,-0.14,Ligue Une
